Deepseek

पुस्तक का नाम	लेखक	रचना काल	संरचना	टिप्पणी
अष्टाध्यायी	पाणिनि	ईसा पूर्व ५वीं शताब्दी	८ अध्याय, ४ पाद, ३२०० सूत्र	संस्कृत व्याकरण का मूल ग्रंथ, "सिद्धे शब्दार्थसम्बन्धे..." प्रथम सूत्र।
महाभाष्य	पतंजलि	ईसा पूर्व २री शताब्दी	८५ पाद, १८०० सूत्रों पर टीका	पाणिनि के सूत्रों की व्याख्या, "अथ शब्दानुशासनम्" प्रारंभिक वाक्य।
काशिका वृत्ति	जयादित्य और वामन	६ठी शताब्दी ईस्वी	८ अध्याय, पाणिनि के सूत्रों पर टीका	"वृत्तिरत्र पदार्थनिर्देशः" प्रमुख सूत्र।
सिद्धान्तकौमुदी	भट्टोजि दीक्षित	१७वीं शताब्दी	पाणिनि के सूत्रों का संक्षिप्त व्याख्या	"अथ शब्दानुशासनम्" से प्रारंभ।
लघुसिद्धान्तकौमुदी	वरदराज	१७वीं शताब्दी	सिद्धान्तकौमुदी का संक्षिप्त संस्करण	"अथ शब्दानुशासनम्" से प्रारंभ।
वाक्यपदीय	भर्तृहरि	५वीं शताब्दी ईस्वी	३ काण्ड, १००० श्लोक	"ब्रह्मणः सदनं वाक्" प्रमुख सूत्र।
परिभाषेन्दुशेखर	नागेश भट्ट	१८वीं शताब्दी	परिभाषाओं का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणभूषणसार	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
ब्रह्मसूत्रभाष्य	शंकराचार्य	८वीं शताब्दी ईस्वी	४ अध्याय, १६ पाद	"अथातो ब्रह्मजिज्ञासा" प्रारंभिक सूत्र।
निरुक्त	यास्क	ईसा पूर्व ५वीं शताब्दी	१२ अध्याय, शब्दों की व्युत्पत्ति	"नाम च धातुजं च" प्रमुख सूत्र।
प्रक्रियाकौमुदी	रामचन्द्र शर्मा	१९वीं शताब्दी	पाणिनि के सूत्रों का व्यावहारिक व्याख्या	"अथ शब्दानुशासनम्" से प्रारंभ।
व्याकरणमहाभाष्य	पतंजलि	ईसा पूर्व २री शताब्दी	८५ पाद, १८०० सूत्रों पर टीका	पाणिनि के सूत्रों की व्याख्या।
शब्दरत्न	हरिदत्त	१२वीं शताब्दी ईस्वी	पाणिनि के सूत्रों पर टीका	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
रूपावतार	वोपदेव	१३वीं शताब्दी ईस्वी	पाणिनि के सूत्रों का संक्षिप्त व्याख्या	"अथ शब्दानुशासनम्" से प्रारंभ।
वैयाकरणसिद्धान्तलघुमञ्जूषा	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणभूषण	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तकौमुदी	भट्टोजि दीक्षित	१७वीं शताब्दी	पाणिनि के सूत्रों का संक्षिप्त व्याख्या	"अथ शब्दानुशासनम्" से प्रारंभ।
वैयाकरणसिद्धान्तमञ्जूषा	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणसिद्धान्तभूषण	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तरत्न	हरिदत्त	१२वीं शताब्दी ईस्वी	पाणिनि के सूत्रों पर टीका	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तशेखर	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणसिद्धान्तसार	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तविवृति	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणसिद्धान्तव्याख्या	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तसंग्रह	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणसिद्धान्तसूत्र	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तटीका	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणसिद्धान्तवार्तिक	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तवृत्ति	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणसिद्धान्तव्याख्यान	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तभाष्य	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणसिद्धान्तटिप्पणी	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तविवेक	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणसिद्धान्तविचार	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तविमर्श	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणसिद्धान्तविज्ञान	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तविश्लेषण	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणसिद्धान्तविवरण	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तविवेचन	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणसिद्धान्तविवाद	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तविवेचना	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणसिद्धान्तविवेचनिका	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तविवेचनी	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।
वैयाकरणसिद्धान्तविवेचनिका	कौण्ड भट्ट	१७वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"शब्दस्यार्थेन सम्बन्धः" प्रमुख सूत्र।
वैयाकरणसिद्धान्तविवेचनी	नागेश भट्ट	१८वीं शताब्दी	व्याकरण के सिद्धान्तों का संग्रह	"परिभाषा हि शास्त्राणाम्..." प्रमुख सूत्र।

----

Gemini

पुस्तक का नाम	लेखक	रचना काल (अनुमानित)	संरचना (अध्याय आदि)	टिप्पणी
अष्टाध्यायी	पाणिनि	ईसा पूर्व ५वीं सदी	८ अध्याय	संस्कृत व्याकरण का मूल ग्रंथ
महाभाष्य	पतंजलि	ईसा पूर्व दूसरी सदी	अनेक आह्निकों में विभाजित	अष्टाध्यायी पर विस्तृत भाष्य
सिद्धान्तकौमुदी	भट्टोजि दीक्षित	१७वीं शताब्दी	अनेक प्रकरणों में विभाजित	अष्टाध्यायी पर आधारित लोकप्रिय व्याकरण ग्रंथ
लघुसिद्धान्तकौमुदी	वरदराज	१७वीं शताब्दी	अनेक प्रकरणों में विभाजित	सिद्धान्तकौमुदी का संक्षिप्त रूप
मध्यसिद्धान्तकौमुदी	वरदराज	१७वीं शताब्दी	अनेक प्रकरणों में विभाजित	लघुसिद्धान्तकौमुदी और सिद्धान्तकौमुदी के मध्य का ग्रंथ
बालमनोरमा	बालकृष्ण दीक्षित	१९वीं शताब्दी	अनेक प्रकरणों में विभाजित	सिद्धान्तकौमुदी पर टीका
तत्त्वबोधिनी	ज्ञानेन्द्र सरस्वती	१८वीं शताब्दी	अनेक प्रकरणों में विभाजित	सिद्धान्तकौमुदी पर टीका
शब्दकौस्तुभ	भट्टोजि दीक्षित	१७वीं शताब्दी	अनेक प्रकरणों में विभाजित	शब्दों की व्युत्पत्ति और अर्थ का विवेचन
वैयाकरणभूषण	कौण्डभट्ट	१७वीं शताब्दी	अनेक प्रकरणों में विभाजित	वैयाकरण सिद्धांतों का विवेचन
