पुस्तक का नाम	लेखक	रचना काल	महत्वपूर्ण गणितीय विषय	टिप्पणी
आर्यभटीय	आर्यभट	499 ईस्वी	त्रिकोणमिति, बीजगणित, खगोलशास्त्र	"वृत्त की परिधि और व्यास का अनुपात लगभग 3.1416 है।"
ब्रह्मस्फुटसिद्धान्त	ब्रह्मगुप्त	628 ईस्वी	शून्य, ऋणात्मक संख्याएँ, द्विघात समीकरण	"शून्य का सही उपयोग पहली बार इस ग्रंथ में किया गया।"
लीलावती	भास्कराचार्य	1150 ईस्वी	अंकगणित, ज्यामिति, बीजगणित	"लीलावती गणित की प्रसिद्ध पुस्तक है, जिसमें सरल उदाहरण दिए गए हैं।"
सिद्धान्त शिरोमणि	भास्कराचार्य	1150 ईस्वी	खगोलशास्त्र, गोलीय त्रिकोणमिति	"इसमें ग्रहों की गति का विस्तृत वर्णन है।"
शुल्ब सूत्र	बौधायन	800-500 ईसा पूर्व	ज्यामिति, यज्ञ वेदिका निर्माण	"पाइथागोरस प्रमेय का उल्लेख इससे पहले ही हो चुका था।"
गणितसार संग्रह	महावीराचार्य	850 ईस्वी	अंकगणित, बीजगणित, क्षेत्रमिति	"इसमें अंकगणित के सरल नियम दिए गए हैं।"
पाटीगणित	श्रीधराचार्य	750 ईस्वी	अंकगणित, बीजगणित	"इसमें गुणा और भाग के नियम सरल तरीके से समझाए गए हैं।"
करणकुतूहल	भास्कराचार्य	1183 ईस्वी	खगोलशास्त्र, गणित	"इसमें ग्रहों की गणना के लिए नए सूत्र दिए गए हैं।"
सूर्य सिद्धान्त	अज्ञात	400-600 ईस्वी	खगोलशास्त्र, त्रिकोणमिति	"सूर्य और चंद्र की गति का विस्तृत वर्णन।"
वासनाभाष्य	भास्कराचार्य	1150 ईस्वी	खगोलशास्त्र, गणित	"सिद्धान्त शिरोमणि की टीका।"
पंचसिद्धान्तिका	वराहमिहिर	575 ईस्वी	खगोलशास्त्र, गणित	"पाँच खगोलीय सिद्धान्तों का संग्रह।"
बृहत्संहिता	वराहमिहिर	550 ईस्वी	ज्योतिष, गणित, वास्तुशास्त्र	"इसमें गणित के साथ-साथ ज्योतिष का भी वर्णन है।"
गोलाध्याय	भास्कराचार्य	1150 ईस्वी	गोलीय ज्यामिति, खगोलशास्त्र	"गोलाकार पिंडों की गणना के लिए सूत्र।"
त्रिशतिका	श्रीधराचार्य	750 ईस्वी	अंकगणित, बीजगणित	"300 श्लोकों में गणित के सिद्धान्त।"
चंद्रप्रकाश	मुनीश्वर	1600 ईस्वी	खगोलशास्त्र, गणित	"चंद्र की गति का विस्तृत वर्णन।"
सिद्धान्त दर्पण	नारायण पण्डित	1350 ईस्वी	खगोलशास्त्र, गणित	"ग्रहों की गति के नए सिद्धान्त।"
गणित कौमुदी	नारायण पण्डित	1350 ईस्वी	अंकगणित, बीजगणित	"गणित के सरल और जटिल सिद्धान्त।"
बीजगणित	भास्कराचार्य	1150 ईस्वी	बीजगणित, समीकरण	"द्विघात समीकरणों का विस्तृत विवरण।"
करण प्रकाश	गणेश दैवज्ञ	1500 ईस्वी	खगोलशास्त्र, गणित	"ग्रहों की गणना के लिए सरल सूत्र।"
सिद्धान्त शेखर	श्रीपति	1050 ईस्वी	खगोलशास्त्र, गणित	"ग्रहों की गति का विस्तृत विवरण।"
गोलविवृत्ति	पृथूदक स्वामी	850 ईस्वी	गोलीय ज्यामिति, खगोलशास्त्र	"गोलाकार पिंडों की गणना।"
वृत्तजाति	अज्ञात	600 ईस्वी	ज्यामिति, वृत्त के गुण	"वृत्त के गुणों का विस्तृत वर्णन।"
अंकगणित	अज्ञात	500 ईस्वी	अंकगणित, संख्याएँ	"संख्याओं के सरल नियम।"
बीजगणितम	अज्ञात	700 ईस्वी	बीजगणित, समीकरण	"समीकरणों का विस्तृत विवरण।"
